============================================================
structok model training
  Size: 410m-llama (1024h 24L 16H 4KV llama)
  Device: cuda:0 (single)
  Tokenizer: /root/structok-64k.json
  Data: /root/data/
  Steps: 40000
  Batch size: 8 per GPU (8 effective)
  Checkpoint every: 5000 steps
============================================================

Tokenizer vocab: 65,539
Resuming from /root/checkpoints/step-20000...
Architecture: llama
Parameters: 404,806,656 (404.8M)
  Gradient checkpointing: disabled (faster)
  Mixed precision: fp16
Resumed from step 20000, loss 4.4189
  Resumed training log from R2 (412 entries)
Loading pre-tokenized data from /root/data/tokens.bin...
  1,258,728,671 tokens memory-mapped from binary
  1,258,728,671 tokens -> 614,613 sequences of 2048

Training from step 20000 to 40000...

  step  20050/40000 | loss 3.5535 | ppl 34.9 | 1.5 steps/s | eta 220m
  step  34650/40000 | loss 3.0664 | ppl 21.5 | 1.4 steps/s | eta 62m
  step  34700/40000 | loss 3.1558 | ppl 23.5 | 1.4 steps/s | eta 61m
  step  34750/40000 | loss 3.2029 | ppl 24.6 | 1.4 steps/s | eta 60m
  step  34800/40000 | loss 3.3791 | ppl 29.3 | 1.4 steps/s | eta 60m
  step  34850/40000 | loss 3.1689 | ppl 23.8 | 1.4 steps/s | eta 59m
  step  34900/40000 | loss 3.3066 | ppl 27.3 | 1.4 steps/s | eta 59m
  step  34950/40000 | loss 3.2471 | ppl 25.7 | 1.4 steps/s | eta 58m
  step  35000/40000 | loss 3.2820 | ppl 26.6 | 1.4 steps/s | eta 58m
  Checkpoint saved: checkpoints/step-35000
  Training log synced to R2 (86.7 KB)
  Background upload started for step-35000
  [bg] Uploading checkpoints/run-003-llama-structok/step-35000/checkpoint.pt (4633 MB)...
  step  35050/40000 | loss 3.1607 | ppl 23.6 | 1.4 steps/s | eta 57m
  [bg] Checkpoint checkpoints/run-003-llama-structok/step-35000 synced to R2
  [bg] Deleted old local checkpoint: step-30000
  step  35100/40000 | loss 3.3482 | ppl 28.5 | 1.4 steps/s | eta 56m
  step  35150/40000 | loss 3.0837 | ppl 21.8 | 1.4 steps/s | eta 56m
  step  35200/40000 | loss 3.2458 | ppl 25.7 | 1.4 steps/s | eta 55m
  step  35250/40000 | loss 3.3320 | ppl 28.0 | 1.4 steps/s | eta 55m
  step  35300/40000 | loss 3.1727 | ppl 23.9 | 1.4 steps/s | eta 54m
  step  35350/40000 | loss 3.1752 | ppl 23.9 | 1.4 steps/s | eta 54m
  step  35400/40000 | loss 3.3168 | ppl 27.6 | 1.4 steps/s | eta 53m
  step  35450/40000 | loss 3.0704 | ppl 21.5 | 1.4 steps/s | eta 52m
  step  35500/40000 | loss 3.2602 | ppl 26.1 | 1.4 steps/s | eta 52m
  step  35550/40000 | loss 3.1286 | ppl 22.8 | 1.4 steps/s | eta 51m
  step  35600/40000 | loss 3.2214 | ppl 25.1 | 1.4 steps/s | eta 51m
  step  35650/40000 | loss 3.3867 | ppl 29.6 | 1.4 steps/s | eta 50m
  step  35700/40000 | loss 3.3351 | ppl 28.1 | 1.4 steps/s | eta 50m
  step  35750/40000 | loss 3.3154 | ppl 27.5 | 1.4 steps/s | eta 49m
  step  35800/40000 | loss 3.2867 | ppl 26.8 | 1.4 steps/s | eta 48m
  step  35850/40000 | loss 3.1894 | ppl 24.3 | 1.4 steps/s | eta 48m
  step  35900/40000 | loss 3.4059 | ppl 30.1 | 1.4 steps/s | eta 47m
  step  35950/40000 | loss 3.2504 | ppl 25.8 | 1.4 steps/s | eta 47m
  step  36000/40000 | loss 3.1246 | ppl 22.7 | 1.4 steps/s | eta 46m
  step  36050/40000 | loss 3.2637 | ppl 26.1 | 1.4 steps/s | eta 45m
  step  36100/40000 | loss 3.2534 | ppl 25.9 | 1.4 steps/s | eta 45m
  step  36150/40000 | loss 3.0526 | ppl 21.2 | 1.4 steps/s | eta 44m
  step  36200/40000 | loss 3.3345 | ppl 28.1 | 1.4 steps/s | eta 44m
  step  36250/40000 | loss 3.2243 | ppl 25.1 | 1.4 steps/s | eta 43m
  step  36300/40000 | loss 3.2313 | ppl 25.3 | 1.4 steps/s | eta 43m
  step  36350/40000 | loss 3.2949 | ppl 27.0 | 1.4 steps/s | eta 42m
  step  36400/40000 | loss 3.2476 | ppl 25.7 | 1.4 steps/s | eta 41m
  step  36450/40000 | loss 3.1011 | ppl 22.2 | 1.4 steps/s | eta 41m
  step  36500/40000 | loss 3.1560 | ppl 23.5 | 1.4 steps/s | eta 40m
  step  36550/40000 | loss 3.2070 | ppl 24.7 | 1.4 steps/s | eta 40m
  step  36600/40000 | loss 3.1416 | ppl 23.1 | 1.4 steps/s | eta 39m
  step  36650/40000 | loss 3.1832 | ppl 24.1 | 1.4 steps/s | eta 39m
  step  36700/40000 | loss 3.1420 | ppl 23.2 | 1.4 steps/s | eta 38m
  step  36750/40000 | loss 3.3410 | ppl 28.2 | 1.4 steps/s | eta 37m
  step  36800/40000 | loss 3.2238 | ppl 25.1 | 1.4 steps/s | eta 37m
  step  36850/40000 | loss 3.2792 | ppl 26.6 | 1.4 steps/s | eta 36m
  step  36900/40000 | loss 3.0967 | ppl 22.1 | 1.4 steps/s | eta 36m
  step  36950/40000 | loss 3.2606 | ppl 26.1 | 1.4 steps/s | eta 35m
  step  37000/40000 | loss 3.1146 | ppl 22.5 | 1.4 steps/s | eta 35m
  step  37050/40000 | loss 3.1293 | ppl 22.9 | 1.4 steps/s | eta 34m
  step  37100/40000 | loss 3.1758 | ppl 23.9 | 1.4 steps/s | eta 33m
  step  37150/40000 | loss 3.1849 | ppl 24.2 | 1.4 steps/s | eta 33m
  step  37200/40000 | loss 3.1887 | ppl 24.3 | 1.4 steps/s | eta 32m
  step  37250/40000 | loss 3.2830 | ppl 26.7 | 1.4 steps/s | eta 32m
  step  37300/40000 | loss 3.2048 | ppl 24.7 | 1.4 steps/s | eta 31m
  step  37350/40000 | loss 3.1561 | ppl 23.5 | 1.4 steps/s | eta 31m
  step  37400/40000 | loss 3.1860 | ppl 24.2 | 1.4 steps/s | eta 30m
  step  37450/40000 | loss 3.3811 | ppl 29.4 | 1.4 steps/s | eta 29m
  step  37500/40000 | loss 3.1374 | ppl 23.0 | 1.4 steps/s | eta 29m
  step  37550/40000 | loss 3.1273 | ppl 22.8 | 1.4 steps/s | eta 28m
  step  37600/40000 | loss 3.0837 | ppl 21.8 | 1.4 steps/s | eta 28m
  step  37650/40000 | loss 3.1917 | ppl 24.3 | 1.4 steps/s | eta 27m
  step  37700/40000 | loss 3.2092 | ppl 24.8 | 1.4 steps/s | eta 27m
  step  37750/40000 | loss 3.1750 | ppl 23.9 | 1.4 steps/s | eta 26m
  step  37800/40000 | loss 3.2954 | ppl 27.0 | 1.4 steps/s | eta 25m
  step  37850/40000 | loss 3.0392 | ppl 20.9 | 1.4 steps/s | eta 25m
  step  37900/40000 | loss 3.1552 | ppl 23.5 | 1.4 steps/s | eta 24m
  step  37950/40000 | loss 3.1490 | ppl 23.3 | 1.4 steps/s | eta 24m
  step  38000/40000 | loss 3.2745 | ppl 26.4 | 1.4 steps/s | eta 23m
  step  38050/40000 | loss 3.2215 | ppl 25.1 | 1.4 steps/s | eta 22m
  step  38100/40000 | loss 3.2625 | ppl 26.1 | 1.4 steps/s | eta 22m
  step  38150/40000 | loss 3.1513 | ppl 23.4 | 1.4 steps/s | eta 21m
  step  38200/40000 | loss 3.3440 | ppl 28.3 | 1.4 steps/s | eta 21m
  step  38250/40000 | loss 3.3151 | ppl 27.5 | 1.4 steps/s | eta 20m
  step  38300/40000 | loss 3.2027 | ppl 24.6 | 1.4 steps/s | eta 20m
  step  38350/40000 | loss 3.1863 | ppl 24.2 | 1.4 steps/s | eta 19m
  step  38400/40000 | loss 3.1119 | ppl 22.5 | 1.4 steps/s | eta 18m
  step  38450/40000 | loss 3.2998 | ppl 27.1 | 1.4 steps/s | eta 18m
  step  38500/40000 | loss 3.2483 | ppl 25.7 | 1.4 steps/s | eta 17m
  step  38550/40000 | loss 3.3242 | ppl 27.8 | 1.4 steps/s | eta 17m
  step  38600/40000 | loss 3.1692 | ppl 23.8 | 1.4 steps/s | eta 16m
  step  38650/40000 | loss 3.2255 | ppl 25.2 | 1.4 steps/s | eta 16m
  step  38700/40000 | loss 3.2951 | ppl 27.0 | 1.4 steps/s | eta 15m
  step  38750/40000 | loss 3.3007 | ppl 27.1 | 1.4 steps/s | eta 14m
  step  38800/40000 | loss 3.0380 | ppl 20.9 | 1.4 steps/s | eta 14m
  step  38850/40000 | loss 3.2900 | ppl 26.8 | 1.4 steps/s | eta 13m
  step  38900/40000 | loss 3.2267 | ppl 25.2 | 1.4 steps/s | eta 13m
  step  38950/40000 | loss 3.1169 | ppl 22.6 | 1.4 steps/s | eta 12m
  step  39000/40000 | loss 2.9978 | ppl 20.0 | 1.4 steps/s | eta 12m
  step  39050/40000 | loss 3.3016 | ppl 27.2 | 1.4 steps/s | eta 11m
  step  39100/40000 | loss 3.3205 | ppl 27.7 | 1.4 steps/s | eta 10m
  step  39150/40000 | loss 3.2969 | ppl 27.0 | 1.4 steps/s | eta 10m
  step  39200/40000 | loss 3.3129 | ppl 27.5 | 1.4 steps/s | eta 9m
  step  39250/40000 | loss 3.1779 | ppl 24.0 | 1.4 steps/s | eta 9m
  step  39300/40000 | loss 3.1961 | ppl 24.4 | 1.4 steps/s | eta 8m
  step  39350/40000 | loss 3.2084 | ppl 24.7 | 1.4 steps/s | eta 7m
  step  39400/40000 | loss 3.1694 | ppl 23.8 | 1.4 steps/s | eta 7m
  step  39450/40000 | loss 3.3546 | ppl 28.6 | 1.4 steps/s | eta 6m
  step  39500/40000 | loss 3.3243 | ppl 27.8 | 1.4 steps/s | eta 6m
  step  39550/40000 | loss 3.2942 | ppl 27.0 | 1.4 steps/s | eta 5m
  step  39600/40000 | loss 3.2109 | ppl 24.8 | 1.4 steps/s | eta 5m
  step  39650/40000 | loss 3.1566 | ppl 23.5 | 1.4 steps/s | eta 4m
  step  39700/40000 | loss 3.1340 | ppl 23.0 | 1.4 steps/s | eta 3m
  step  39750/40000 | loss 3.1668 | ppl 23.7 | 1.4 steps/s | eta 3m
  step  39800/40000 | loss 3.2808 | ppl 26.6 | 1.4 steps/s | eta 2m
  step  39850/40000 | loss 2.9542 | ppl 19.2 | 1.4 steps/s | eta 2m
  step  39900/40000 | loss 3.2799 | ppl 26.6 | 1.4 steps/s | eta 1m
  step  39950/40000 | loss 3.2588 | ppl 26.0 | 1.4 steps/s | eta 1m
  step  40000/40000 | loss 3.2569 | ppl 26.0 | 1.4 steps/s | eta 0m
  Checkpoint saved: checkpoints/step-40000
  Training log synced to R2 (99.0 KB)
  Background upload started for step-40000
  [bg] Uploading checkpoints/run-003-llama-structok/step-40000/checkpoint.pt (4633 MB)...
  Waiting for previous upload...
  [bg] Checkpoint checkpoints/run-003-llama-structok/step-40000 synced to R2
  [bg] Deleted old local checkpoint: step-35000
  Checkpoint saved: checkpoints/step-40000
  Training log synced to R2 (99.0 KB)
  Background upload started for step-40000

Training complete: 40000 steps in 231.3 minutes
Final loss: 3.2097
Checkpoints in: checkpoints/
  [bg] Uploading checkpoints/run-003-llama-structok/step-40000/checkpoint.pt (4633 MB)...
  [bg] R2 upload failed: cannot schedule new futures after interpreter shutdown (keeping local checkpoints)
